"","subject","trial_index","rt","trial_type","stim_type","cue","top_opt","bottom_opt","responses","variable_type"
"36","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",3,80746.9149999997,"survey-multi-choice","filler","vỉa hè","ngã tư","con đường","ngã tư",NA
"37","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",3,80746.9149999997,"survey-multi-choice","attention check","Chọn đầu gối","đầu gối","cổ tay","đầu gối",NA
"38","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",3,80746.9149999997,"survey-multi-choice","triad","biển","thuyền","suối","thuyền",NA
"39","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",3,80746.9149999997,"survey-multi-choice","filler","trơn","nhẹ","mềm","nhẹ",NA
"40","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",3,80746.9149999997,"survey-multi-choice","filler","trăng","thiên thạch","hành tinh","thiên thạch",NA
"41","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",3,80746.9149999997,"survey-multi-choice","triad","cưa","tấm ván","búa","tấm ván",NA
"42","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",3,80746.9149999997,"survey-multi-choice","filler","hôm nay","ngày mai","hôm qua","ngày mai",NA
"43","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",3,80746.9149999997,"survey-multi-choice","filler","mắt kính","ống nhòm","kính viễn vọng","ống nhòm",NA
"44","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",3,80746.9149999997,"survey-multi-choice","triad","chim cánh cụt","tuyết","ngỗng","tuyết",NA
"45","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","bình tưới","hoa","xô","hoa",NA
"46","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","dê","nai","đồng cỏ","đồng cỏ",NA
"47","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","bánh ngọt","bánh kem","thợ làm bánh","bánh kem",NA
"48","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","filler","thư","ghi chú","bài báo","bài báo",NA
"49","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","filler","đốt sống","xương sườn","sọ","sọ",NA
"50","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","filler","nhân viên","giám đốc","quản lý","quản lý",NA
"51","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","hành","chảo","ớt","chảo",NA
"52","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","filler","cô","bà","chị","chị",NA
"53","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","mũ","vương miện","đầu","đầu",NA
"54","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","filler","cầu thang","ban công","gác xép","gác xép",NA
"55","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","miệng","mũi","bàn chải đánh răng","bàn chải đánh răng",NA
"56","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","kiếm","dao găm","cướp biển","dao găm",NA
"57","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","filler","công","cú","đà điểu","đà điểu",NA
"58","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","đạn","mũi tên","súng","súng",NA
"59","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","hải âu","trời","dơi","trời",NA
"60","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","bèo","ao","hoa hồng","ao",NA
"61","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","bồ câu","vịt","tổ","tổ",NA
"62","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","triad","nồi","chảo","muôi","chảo",NA
"63","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","filler","rừng nhiệt đới","ốc đảo","đầm lầy","đầm lầy",NA
"64","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","attention check","Chọn bữa tối","bữa tối","bữa trưa","bữa tối",NA
"65","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",4,77136.1700000016,"survey-multi-choice","filler","phút","giờ","giây","giờ",NA
"66","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","lều trại","lửa trại","chòi","lửa trại",NA
"67","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","ngựa","yên ngựa","lừa","lừa",NA
"68","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","filler","bẫy","nói dối","lừa gạt","lừa gạt",NA
"69","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","máy bay","tàu thuỷ","phi công","tàu thuỷ",NA
"70","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","triad","nhẫn","tay","dây chuyền","dây chuyền",NA
"71","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","filler","tủ sách","máy lạnh","lò sưởi","lò sưởi",NA
"72","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",5,80255.7850000012,"survey-multi-choice","filler","quạ","đại bàng","chim sẻ","đại bàng",NA
