Cue_renamed,Cue,Tax.match,Theme.match,tax.frequency,theme.frequency,Tax.cosine_dist,Theme.cosine_dist,Tax.cosine_sim,Theme.cosine_sim
snow,snow,ice,mountain,2221,662,0.42184340953826904,0.5911468267440796,0.578156590461731,0.4088531732559204
kitchen,kitchen,bedroom,refrigerator,780,395,0.4550115466117859,0.4862514138221741,0.5449884533882141,0.5137485861778259
knight,knight,soldier,armor,16,381,0.5775160789489746,0.5417267680168152,0.4224839210510254,0.4582732319831848
lamp,lamp,flashlight,desk,16,385,0.5345699787139893,0.6490955352783203,0.46543002128601074,0.3509044647216797
gloves,gloves,shorts,ski,29,79,0.6250638663768768,0.7655767053365707,0.37493613362312317,0.23442329466342926
mountain,mountain,cliff,snow,94,661,0.510604053735733,0.5911468267440796,0.48939594626426697,0.4088531732559204
mouth,mouth,nose,toothbrush,1937,55,0.489662230014801,0.6845218539237976,0.510337769985199,0.3154781460762024
movie,movie,cartoon,director,126,1308,0.5713298916816711,0.6647017300128937,0.42867010831832886,0.3352982699871063
notepad,notepad,book,backpack,13,3,0.7430453896522522,0.6092297732830048,0.2569546103477478,0.39077022671699524
ocean1,ocean,river,whale,387,115,0.5247086882591248,0.5197569727897644,0.47529131174087524,0.4802430272102356
onion2,onion,peppers,frying pan,306,42,0.40366655588150024,0.8307468742132187,0.5963334441184998,0.1692531257867813
oyster,oyster,clam,pearl,38,79,0.33377718925476074,0.44915324449539185,0.6662228107452393,0.5508467555046082
watering can,watering can,bucket,flowers,0,5,0.8723790943622589,0.8741897195577621,0.1276209056377411,0.12581028044223785
pastry,pastry,cake,baker,92,19,0.4666879177093506,0.46367347240448,0.5333120822906494,0.53632652759552
penguin,penguin,goose,snow,0,11,0.6441391110420227,0.7201004028320312,0.3558608889579773,0.27989959716796875
policeman,policeman,teacher,jail,22,17,0.6087147891521454,0.6787603497505188,0.3912852108478546,0.3212396502494812
mailman,mailman,firefighter,package,0,13,0.7223126590251923,0.6613143086433411,0.27768734097480774,0.33868569135665894
pot1,pot,pan,ladle,167,37,0.5358729064464569,0.5389065742492676,0.4641270935535431,0.4610934257507324
pot2,pot,pan,stove,167,438,0.5358729064464569,0.5244851112365723,0.4641270935535431,0.47551488876342773
saw,saw,hammer,plank,147,15,0.8402397781610489,0.8648949563503265,0.1597602218389511,0.13510504364967346
sink,sink,bathtub,soap,78,102,0.46228736639022827,0.7170730233192444,0.5377126336097717,0.2829269766807556
spider,spider,grasshopper,web,6,786,0.49950045347213745,0.6042749881744385,0.5004995465278625,0.3957250118255615
spoon1,spoon,ladle,bowl,45,712,0.31171882152557373,0.40732908248901367,0.6882811784744263,0.5926709175109863
sword,sword,dagger,pirate,76,34,0.26872456073760986,0.6898792088031769,0.7312754392623901,0.3101207911968231
tent,tent,cabin,campfire,74,21,0.5700206160545349,0.5041584074497223,0.4299793839454651,0.4958415925502777
towel,towel,handkerchief,shower,3,165,0.4703858494758606,0.45318591594696045,0.5296141505241394,0.5468140840530396
train,train,bus,tracks,863,1213,0.41726261377334595,0.6018342971801758,0.582737386226654,0.3981657028198242
university,university,school,professor,17898,28433,0.39704370498657227,0.43814361095428467,0.6029562950134277,0.5618563890457153
doctor,doctor,engineer,hospital,117,1802,0.687703400850296,0.4526107907295227,0.312296599149704,0.5473892092704773
peach,peach,plum,pit,84,263,0.31732505559921265,0.6923997700214386,0.6826749444007874,0.3076002299785614
